Ministry of Justice,MoJ HQ,19-Apr-12,266000-Judicial Costs,RG999-CFLAP Accumulator,CALDER CONFERENCES LTD,1073266,"£30,559.17",RG707 - Training events for coroners and coroner's officers - Induction 1 13 -16 Sept 2011; residential training 11-14 October 2011; 24 - 27 January 2012 and 20-23 March 2012,LS16 6RF,0,Programme
Ministry of Justice,MoJ HQ,30-Apr-12,212001-Agency staff,PZ501-MoJ ICT Feeder,DELOITTE LLP,1074099,"£30,647.50",Provision of Senior It Programme Director MOJICT Programme & Project Delivery,MK9 1FD,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,LZ430-I&B Operations,LOGICA UK LTD,1074016,"£30,725.38","CCN -L-R-2423-01:CFO FAS Migration					",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1073999,"£30,919.00","A-R-03074-01-v04 - Closure of Marland House and relocation of IT	 	 	",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1073999,"£30,919.00","A-R-03074-01-v04 - Closure of Marland House and relocation of IT	 	 	",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"£31,055.51","ARIA
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,246000-Current Grants,RB999-JPG - CJRD,IPSWICH AND SUFFOLK COUNCIL FOR RACIAL EQUALITY,1072426,"£31,450.00",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,IP1 3EP,0,Grant
Ministry of Justice,MoJ HQ,05-Apr-12,266000-Judicial Costs,MD600-Information Directorate,HAMMICKS LEGAL INFORMATION SERVICES,1072404,"£32,106.62",Legal publications for the judiciary and courts,EC4A 2NJ,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"£32,496.83",OMNI Legacy Applications,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1074036,"£32,496.83",OMNI Legacy Applications,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,223001-Printing Postage and Office expenditure,NZ406-Strategic Estates Feeder,FRANCOTYP - POSTALIA LTD,1073321,"£32,500.00","Funds for crediting FP franking machines at Ashley House, House of Lords (Crown Office) and 30 Millbank",DA1 1EF,0,Admin
Ministry of Justice,MoJ HQ,19-Apr-12,223001-Printing Postage and Office expenditure,NZ406-Strategic Estates Feeder,FRANCOTYP - POSTALIA LTD,1073321,"£32,500.00","Funds for crediting FP franking machines at Ashley House, House of Lords (Crown Office) and 30 Millbank",DA1 1EF,0,Admin
Ministry of Justice,MoJ HQ,23-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1073554,"£32,573.70",CCN A-R-01986-13.V01 - LSC IDP Resources (One Off Costs),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"£32,867.00",CCN A-R-2943-06 - LSC Secure Enclave CCN2943-06 Migration,WV10 6UH,E145,Programme
Ministry of Justice,MoJ HQ,23-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1073633,"£32,921.41",CCN L-S-2757-06 - CREST (E001) T&M CCN for continuation of work while full project CCN is being produced.,CF31 9AP,E001,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,EXPERIAN QAS,1072883,"£32,930.38",Quick Address Annual Renewal March 2012 for MoJ,SW4 0QL,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,223000-Other Expenditure,MD600-Information Directorate,TNT UK LTD,1072669,"£32,931.40",MD145 Monthly payment for offsite storage of records held at TNT and delivery costs,BL0 9AR,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"£33,035.36",OMNI Blackberry Support,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"£33,122.43",MOJ HMPS  Replacement Intranet Support,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,02-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072107,"£33,155.00",QBD Malicious damage to IT & telephony,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,02-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072092,"£33,520.50","HQ Demand CCNF377 WP3 - Digital CJS Detailed Analysis - Local Areas- Final report 30 Sep -PK200					",WA3 9BD,E073,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"£33,520.50","Single Intranet -  Innovation & Initial Analysis work package, Digital CJS Implementation Analysis Support -  Detailed Analysis work package.",WA3 9BD,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"£33,591.25",OMNI Project Services,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072256,"£33,863.00","A-R-03103-02 - LSC Ramp Up - Prep for Relocation	 	 	",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072256,"£33,863.00","A-R-03103-02 - LSC Ramp Up - Prep for Relocation	 	 	",WV10 6UH,0,Admin
Ministry of Justice,MoJ HQ,26-Apr-12,222003-CIS Labour TFM Estates,QY200-OU10 Billback,MITIE JUSTICE LTD,1074018,"£34,104.62",Soft services fixed costs internal moves all sites MOJ HQ,CIS-BS16 7FH,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"£34,464.98",Managed Service - Governance Apr-11 to Mar-12,WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,02-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072107,"£34,519.30",QBD BlackBerry,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"£34,806.00","Ediary (LOCCS)
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,512000-Intangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072479,"£35,567.00","CCN L-S-3188-01 - will deliver application changes to the follow applications in order to implement and enhancements requested by the authority CPC, CaseMan/CCBC and FamliyMan. These are updates to database reference data, updates to busine",CF31 9AP,E017,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"£35,644.25","XHIBIT
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HP ENTERPRISE SERVICES UK LTD,1072420,"£35,692.60",QBD Application Charges,RG12 1HN,0,Programme
Ministry of Justice,MoJ HQ,16-Apr-12,223000-Other Expenditure,LZ600-Transforming Justice,HAMMICKS LEGAL INFORMATION SERVICES,1073112,"£35,750.00",Legal publications for the judiciary and courts,EC4A 2NJ,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,266000-Judicial Costs,MD600-Information Directorate,HAMMICKS LEGAL INFORMATION SERVICES,1072404,"£35,860.25",Legal publications for the judiciary and courts,EC4A 2NJ,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"£36,236.00",YJB CCN F368 - Ongoing - Core YJB ICT Services - Service Charge,WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,COMPUTERS IN PERSONNEL LTD,1072853,"£36,450.00","Software Licence - for base application - payment requried by 31st March 2012, Maintainance Days - for Equitas & JAMS2 - On Site & Project Management Days - Off site.",SL7 1DD,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"£36,666.67",CCN1478-05 - Technical Services Group Ongoing,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,266000-Judicial Costs,MD600-Information Directorate,HAMMICKS LEGAL INFORMATION SERVICES,1072404,"£38,085.40",Legal publications for the judiciary and courts,EC4A 2NJ,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"£38,249.17",PO200- OMNI Contract - Agency Area RfS,M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,30-Apr-12,212001-Agency staff,PZ501-MoJ ICT Feeder,DELOITTE LLP,1074099,"£38,870.00",Provision of Senior It Programme Director MOJICT Programme & Project Delivery.,MK9 1FD,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,263000-Other Contracted Out Services,NX900-MOJ Shared Services,CAPITA HARTSHEAD LTD,1073759,"£39,275.81",Capita Hartshead Pension Services - Monthly Pension Charges for the new financial year 11-12 - NX416,DL1 9HN,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,266000-Judicial Costs,LZ600-Transforming Justice,HAMMICKS LEGAL INFORMATION SERVICES,1072404,"£39,969.57",Legal publications for the judiciary and courts,EC4A 2NJ,0,Admin
Ministry of Justice,MoJ HQ,04-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"£40,529.30","Ashley House FM costs of £156,247.00 plus indexation (3.5%), based on year 3 costs. Indexation is inflation-linked and therefore likely to change - VAT EXEMPT",NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,04-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"£40,529.30","Ashley House FM costs of £156,247.00 plus indexation (3.5%), based on year 3 costs. Indexation is inflation-linked and therefore likely to change - VAT EXEMPT",NP20 9BB,0,Admin
Ministry of Justice,MoJ HQ,26-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1073726,"£40,618.00",A-R-02707-05.V01 LSC Call Off Resources for dev test programme,WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,266000-Judicial Costs,MD600-Information Directorate,HAMMICKS LEGAL INFORMATION SERVICES,1072404,"£40,687.92",Legal publications for the judiciary and courts,EC4A 2NJ,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"£40,718.00","					 LSC Secure Enclave CCN2943-02 Build - Mst 6 On completion of Secure Enclave Build Activities-PQ105					",WV10 6UH,E145,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"£40,849.34","CCN0121 - Judicial Portal Project - ongoing
",CF31 9AP,0,Programme,,
Ministry of Justice,MoJ HQ,30-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1074175,"£41,116.00","L-S-2444-03 Capgem Auth Nom Supp Q1 2012						 							  						",CF31 9AP,0,Programme,,
Ministry of Justice,MoJ HQ,04-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"£41,775.11","Reactive maintenance costs - based on year 3 costs, subject to change. VAT EXEMPT",NP20 9BB,0,Admin,,
Ministry of Justice,MoJ HQ,04-Apr-12,222002-Other Property Costs,NZ406-Strategic Estates Feeder,HOME OFFICE,1072221,"£41,775.11","Reactive maintenance costs - based on year 3 costs, subject to change. VAT EXEMPT",NP20 9BB,0,Admin,,
Ministry of Justice,MoJ HQ,04-Apr-12,264000-Consultancy,RC999-Criminal Justice Group - OMS,NOMS,1072224,"£41,856.00",Reimbursement to NOMS ,NP20 9BB,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072256,"£41,908.00","A-R-03103-06 - LSC Remedial Works from PoC	 	 	",WV10 6UH,0,Admin,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1072256,"£41,908.00","A-R-03103-06 - LSC Remedial Works from PoC	 	 	",WV10 6UH,0,Admin,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"£42,351.86",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"£42,408.42",Managed Service - Service Desk Apr-11 to Mar-12,WA3 9BD,0,Programme,,
Ministry of Justice,MoJ HQ,16-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,THOMAS TELFORD LTD,1073185,"£42,500.00",Word processing licence for term services contracts and professional services contract including engineering and construction contract and the ECC short form for a period of 5 years.,E14 9TP,0,Admin,,SME
Ministry of Justice,MoJ HQ,16-Apr-12,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,THOMAS TELFORD LTD,1073185,"£42,500.00",Word processing licence for term services contracts and professional services contract including engineering and construction contract and the ECC short form for a period of 5 years.,E14 9TP,0,Admin,,SME
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"£42,933.00",A-R-03141-01 - ET/EAT Applications enhancement release,WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,CABLE & WIRELESS WORLDWIDE,1072840,"£43,000.00","Document Repository Service - Delivery of Contact Milestone 1 - Acceptance of Initial Work						",MK3 5JP,0,Admin,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"£43,284.38",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,02-Apr-12,265000-IT & Telecommunications,RB999-JPG - CJRD,LOGICA UK LTD,1072125,"£43,550.00","CCN L-R-2897-01 - CJ MIS Transfer to DISC					  	 	",CF31 9AP,0,Programme,,
Ministry of Justice,MoJ HQ,16-Apr-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1073099,"£44,011.66","Electricity supply to 102 Petty France (BER NE130), April 2011-March 2012.",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,16-Apr-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1073099,"£44,011.66","Electricity supply to 102 Petty France (BER NE130), April 2011-March 2012.",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,16-Apr-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1073099,"£44,357.75","Electricity supply to 102 Petty France (BER NE130), April 2011-March 2012. ",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,16-Apr-12,261000-Fuel and Utilities,NZ406-Strategic Estates Feeder,EDF ENERGY LTD,1073099,"£44,357.75","Electricity supply to 102 Petty France (BER NE130), April 2011-March 2012. ",PL3 5XQ,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"£44,648.44","CCN0121 - Judicial Portal Project - ongoing
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1073322,"£44,762.86",EIP2NetSec (E134) Fujitsu CCNF391-02 AV Boundary  - One off charge,WA3 9BD,E134,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"£44,943.00",CCN 2185-01 - MCOBS transition to BAU - Ongoing Charges FY 11-12,CF31 9AP,E002,Programme
Ministry of Justice,MoJ HQ,02-Apr-12,223000-Other Expenditure,RB999-JPG - CJRD,NOTTINGHAMSHIRE POLICE AUTHORITY,1072139,"£45,000.00",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,NG5 8PP,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1073322,"£45,018.00",EIP3Infra (E132) Fujitsu CCNF410-03 CSS Load Balancers  One Off Charge,WA3 9BD,E132,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"£45,913.00","CCN A-R-03418-01 - CREST (E001) Fixed Price Work Order A-R-03418-01 (5 workshops, production and issue of High Level Design, work on full project CCN)",WV10 6UH,E001,Programme
Ministry of Justice,MoJ HQ,23-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1073554,"£46,366.58",CCN A-R-01986-13.V01 - LSC IDP Resources (One Off Costs),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,19-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1073322,"£46,714.00","CCNF391-03 - EIP2NetSec (E134) CCNF391-03 AV Host - Mst 1 AV Host LLD, Mst 2 AV Host IT1 & 	 Mst 3 AV Host Solution delivery Completion -from 31/03/2012 to 29/05/2012	",WA3 9BD,E134,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"£48,404.88",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,246000-Current Grants,RB999-JPG - CJRD,NSPCC,1072522,"£48,407.47",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,EC2A 3NH,0,Grant
