EA Dec 2011 - >£25k Payments report FINAL,,,,,,,,,,,
Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
22-Dec-11,Building Management,FM Operating Unit - Central and South East,South Oxford District Council,956723,"£162,631.30",Rayes Red Kite House,OX10 8NE,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South East,Test Valley Borough Council,958669,"£27,759.70","Rates The Depot, Romsey",SP10 3AJ,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Warwick District Council,961546,"£31,176.00",Rates Brook house,CV32 5QW,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Bristol City Council,980928,"£558,570.00",Rates for Horizon House 2011-12,BS1 5TR,,,,Administration
01-Dec-11,Building Management,FM Operating Unit - Northern,DTZ Debenham Tie Leung,1016989,"£178,500.00",Quarterly rent Phoenix House,B3 2ED,,,,Administration
01-Dec-11,Building Management,FM Operating Unit - Central and South East,Factory Outlets Ltd,1017752,"£106,725.00",Quarterly rent 25.12.11 - 24.03.12 for Guildbourne House ,NW1 0ND,,,,Administration
01-Dec-11,Building Management,NW Regional Facilities,Amas Ltd,1019045,"£141,465.00","Commercial Rent for Unit 3 Birchwood Point Bus Park, Warrington.",W1A 2NF,,,,Administration
06-Dec-11,Building Management,FM Operating Unit - Northern,Eddisons,1019598,"£41,625.00",Rent Bradmarsh  25/12/11 - 24/03/12,WC2H 0AU,,,,Administration
08-Dec-11,Building Management,FM Operating Unit - Central and South East,Arlington Business Parks Partnerships,1020506,"£105,021.00",Service charge for SC Bishop Square Hatfield Business Park,RG7 4SA,,,,Administration
08-Dec-11,Building Management,FM Operating Unit - Central and South East,Arlington Business Parks Partnerships,1020519,"£175,200.00",Rent for 2 Bishop Square Hatfield Business Park 25.12.11 - 24.03,RG7 4SA,,,,Administration
08-Dec-11,Building Management,FM Operating Unit - Central and South East,Jones Lang LaSalle,1021022,"£59,400.00",Rent Wessex Business Park 25.12-24.03,BS8 9AQ,,,,Administration
08-Dec-11,Building Management,AN Regional Facilities,Sir Robert McAlpine Ltd,1021046,"£31,500.00",Rent - Nene House ,HP2 7TR,,,,Administration
08-Dec-11,Building Management,National Estates Manager,Robson Associates,1021229,"£82,350.60",Quarterly rent -  Ghyll Mount,W1H 5WQ,,,,Administration
08-Dec-11,Building Management,FM Operating Unit - Central and South West,OF Ryan,1021257,"£93,867.30",Rental for the period of 24/12/11 - 25/03/12 at Olton Court.,B26 3LS,,,,Administration
08-Dec-11,Building Management,FM Operating Unit - Northern,Berkley Estates London Ltd,1021456,"£25,725.00",Rent 25.12-24.03 Headingley,W1U 1QS,,,,Administration
08-Dec-11,Building Management,FM Operating Unit - Northern,Northumberland Estates Ltd,1021853,"£93,193.80",Rent payable 25/12/11 - 24/03/12 Office Units and Car Parking at Ty,NE66 1NQ,,,,Administration
13-Dec-11,Building Management,NLS Support Leeds,Colliers International Belfast Ltd,1021866,"£76,500.00",Rent 25.12.11 - 24.03.12. (Olympia house).,BT2 8BG,,,,Administration
08-Dec-11,Building Management,FM Operating Unit - Central and South West,Bishops Securities Ltd,1021979,"£28,476.00",Rent - office and workshop Mance house,NG1 1HN,,,,Administration
08-Dec-11,Building Management,FM Operating Unit - Northern,Colenso Property Services,1022141,"£61,050.00","Rent - Coverdale House, York",YO30 4GZ,,,,Administration
13-Dec-11,Building Management,SE Kent and South London- Tidal Flood Risk Manager,Port Of London Authority,1022186,"£84,035.66",Thames Barrier running costs for 2011.,DA12 2BG,,,,Administration
13-Dec-11,Building Management,FM Operating Unit - Northern,Jaymar Estates Ltd,1022663,"£129,121.80","Rent Due 25/12/11 - 24/03/12 The Quadrant, Sheffield",M6 6AR,,,,Administration
15-Dec-11,Building Management,FM Operating Unit - Central and South East,CB Richard Ellis Ltd,1022976,"£118,949.40",Rent and Service charge in advance - 25th Floor Millbank tower,EC4M 7HP,,,,Administration
15-Dec-11,Building Management,FM Operating Unit - Central and South East,CB Richard Ellis Ltd,1022981,"£66,546.60",Service charge in advance - 25th Floor Millbank tower,EC4M 7HP,,,,Administration
20-Dec-11,Building Management,FM Operating Unit - Central and South West,PJ Salter,1024351,"£79,322.46",Rent for Exminster House 25/12/2011.,EX8 5HB,,,,Administration
20-Dec-11,Building Management,National Facilities Manager,Property Income & Reversion Trust Ltd,1024693,"£129,714.30",Rent 25/12/11 - 24/03/12River House Bridgwater,LE10 1AW,,,,Administration
22-Dec-11,Building Management,FM Operating Unit - Central and South West,Holding & Barnes Plc,1027318,"£135,750.00",Rent for Trentside Offices,SS8 0PQ,,,,Administration
08-Dec-11,Building Management | Electricity,FM Operating Unit - Central and South East,Howard Grove Ltd,1021259,"£27,900.00",Rent for Trentside Offices ,CB2 1AW,,,,Administration
01-Dec-11,Building Repair & Maintenance,NW South-Ops Delivery,Boulting Technology,1018939,"£38,415.04",Regional Mechanical and Electrical Maintenance North West region,WA1 1RG,,30270233,RENW000939,Administration
01-Dec-11,Building Repair & Maintenance,NW South-Ops Delivery,Boulting Technology,1018943,"£33,634.99",Regional Mechanical and Electrical Maintenance North West Region,WA1 1RG,,30270233,RENW000941,Administration
06-Dec-11,Building Repair & Maintenance,National Facilities Manager,Gelder Ltd,1019037,"£29,998.80",Replacement of guttering at Kingfisher house.,LN1 2DS,,30199819,HOFAC00001,Administration
01-Dec-11,Building Repair & Maintenance,WA Regional Facilities,Jehu Project Services Ltd,1019193,"£41,629.20",Interim Valuation No 1 for structural repairs at Ty Cambria ,CF31 3PH,,,REWA000177,Administration
13-Dec-11,Building Repair & Maintenance,SE Capital WiP,Newey & Eyre Ltd,1023950,"£29,928.00",6ft LED 4000k LED Tube,B1S 1JD,,,IMSE500030,Administration
20-Dec-11,Building Repair & Maintenance,Head of Corporate Assets,Agrilek Ltd,1024546,"£25,707.60",Lighting replacement - various areas at Ghyll Mount,LA14 5UL,,30131761,HOFAC000011,Administration
01-Dec-11,Construction Service Providers,AN Capital WiP,Halcrow Group Ltd,1018057,"£27,776.96",Ipswich Flood Development Management Scheme- alternative design for EDF Power Cable Diversion - Oct 11,SN4 0QD,,30071913,IMAN001827,Project
01-Dec-11,Construction Service Providers,Asset Management Manager,Halcrow Group Ltd,1018071,"£41,539.19",Flood and Coastal Risk Management Post Project Appraisal Programme 2011/12 - Oct 11,SN4 0QD,,30071913,FCPAM00010B00,Project
01-Dec-11,Construction Service Providers,MI Capital WiP,Halcrow Group Ltd,1018089,"£26,979.68",River Tame Project approvals - October 11,SN4 0QD,,30071913,IMMI000978,Project
01-Dec-11,Construction Service Providers,NE Capital WiP,Halcrow Group Ltd,1018148,"£33,037.30",Lower Todmorden and Waslden Water Flood Alleviation Scheme - Oct 11,SN4 0QD,,30071913,IMNE000616,Project
01-Dec-11,Construction Service Providers,SW Capital WiP,Halcrow Group Ltd,1018255,"£63,988.24",Steart Managed Realignment Scheme- Oct 11,SN4 0QD,,30071913,IMSW001389,Project
01-Dec-11,Construction Service Providers,SE Capital WiP,Halcrow Group Ltd,1018260,"£50,143.10",Water Resources in the South East Project - Oct 11,SN4 0QD,,30071913,IMSE900002,Project
01-Dec-11,Construction Service Providers,SE North East Thames - Flood Risk,Halcrow Group Ltd,1018347,"£35,955.32",Structural Surveys of Man Made Channels - Oct 11,SN4 0QD,,30071913,IMTH001076,Project
01-Dec-11,Construction Service Providers,SE Capital WiP,Halcrow Group Ltd,1018410,"£39,854.30",Thames High Impact Refurbishment Programme - Oct 11,SN4 0QD,,30071913,IMSE500047,Project
01-Dec-11,Construction Service Providers,WA Capital WiP,Black & Veatch Ltd,1019626,"£28,119.38",Dolgellau Flood Risk Management Scheme - Professional fees and expenses for period 01.1,RH1 1LQ,,40007997,IMWA000559,Project
08-Dec-11,Construction Service Providers,SE Capital WiP,Dean & Dyball Civil Engineering Ltd,1019783,"£123,390.18",Minor Works Contractors Framework Aspenden Brook and River,BH24 1PN,,30134428,IMTH001453,Project
06-Dec-11,Construction Service Providers,SE Capital WiP,Black & Veatch Ltd,1019951,"£26,272.76",Consistent Thresholds Hydrometric Data review - stage 2,RH1 1LQ,,30072271,IMSO001129,Project
06-Dec-11,Construction Service Providers,SE Capital WiP,Black & Veatch Ltd,1019992,"£56,866.62",Banbury Flood Alleviation Scheme Site Supervision,RH1 1LQ,,30072271,IMTH000615,Project
06-Dec-11,Construction Service Providers,NE Capital WiP,Black & Veatch Ltd,1020048,"£35,655.97",Donna Nook Realignment,RH1 1LQ,,30072271,IMNE000738,Project
06-Dec-11,Construction Service Providers,NE Capital WiP,Black & Veatch Ltd,1020051,"£27,805.68",Water End Flood Alleviation Scheme,RH1 1LQ,,30072271,IMNE000775,Project
08-Dec-11,Construction Service Providers,NE Capital WiP,Atkins Ltd,1020150,"£53,973.22",Leeds projects- alternative solutions ,KT18 5BW,,30072266,IMNE000192,Project
08-Dec-11,Construction Service Providers,HO NCPMS Manager,Atkins Ltd,1020391,"£27,146.09",Construction Design Management,KT18 5BW,,30072266,NCPMSCDM,Project
08-Dec-11,Construction Service Providers,MI Capital WiP,Haskoning UK Ltd,1021180,"£82,560.00",Midlands Regional Fish Pass Package 11-12,PE3 8DW,,30071934,IMMI001259,Project
08-Dec-11,Construction Service Providers,NE Capital WiP,Jacobs Engineering UK Ltd,1021332,"£35,868.37",Professional Engineer services - Ings Beck Scheme,G2 7HX,,30072261,IMNE000646,Project
08-Dec-11,Construction Service Providers,NE Capital WiP,Jacobs Engineering UK Ltd,1021345,"£26,705.04",Professional Engineer services - Redcar Scheme,G2 7HX,,30072261,IMNE000524,Project
08-Dec-11,Construction Service Providers,AN Capital WiP,Haskoning UK Ltd,1021389,"£27,008.77",Chelmsford Flood Alleviation Scheme,PE3 8DW,,30071934,IMAN001326,Project
08-Dec-11,Construction Service Providers,SE Capital WiP,Jacobs Engineering UK Ltd,1021400,"£89,743.10",Medmerry Managed Realignment,G2 7HX,,30072261,IMSO001023,Project
08-Dec-11,Construction Service Providers,AN Capital WiP,Haskoning UK Ltd,1021438,"£49,582.32",Geology Archaeological and Bat Surveys and additional Site Investigation for Steeple Bumpstead ,PE3 8DW,,30071934,IMAN001770,Project
20-Dec-11,Construction Service Providers,AN Capital WiP,Jacobs Engineering UK Ltd,1021539,"£32,404.60",Boston Barrier project,G2 7HX,,30072261,IMAN001472,Project
15-Dec-11,Construction Service Providers,TH Capital WiP,Ove Arup & Partners Ltd,1022757,"£27,105.89",Thames Barrier Perimeter security Project,NE1 3PL,,30072279,IMTH001544,Project
15-Dec-11,Construction Service Providers,SE Capital WiP,Ove Arup & Partners Ltd,1022770,"£36,170.16",West Wittering Flood Banks,NE1 3PL,,30072279,IMSO001076,Project
13-Dec-11,Construction Service Providers,MI Capital WiP,Black & Veatch Ltd,1022869,"£109,052.89",Nottingham Trent Site Supervision  ,RH1 1LQ,,30072271,IMMI000642,Project
15-Dec-11,Construction Service Providers,SE Environment and Performance Manager,EC Harris Llp,1022942,"£55,567.52",Environmental Services to Environment and Water Framework Directive,M60 3NT,,30314195,RESE000028,Project
20-Dec-11,Construction Service Providers,AN Capital WiP,Ove Arup & Partners Ltd,1024264,"£43,116.77",Grimsby Flood Alleviation Scheme fee summary note to end Oct'11,NE1 3PL,,30072279,IMAN001995,Project
20-Dec-11,Construction Service Providers,NE Capital WiP,Ove Arup & Partners Ltd,1024273,"£25,826.88",Neasham reservoir fee up to end Oct'11,NE1 3PL,,30072279,IMNE000893,Project
20-Dec-11,Construction Service Providers,MI West - Ops Delivery,Birmingham City Council,1024770,"£25,358.04",Main rivers maintenance contract ,B1 1BB,,30189274,REMI000694,Project
22-Dec-11,Construction Service Providers,SW Capital WiP,Halcrow Group Ltd,1026918,"£59,949.49",Steart Managed Realignment,SN4 0QD,,30071913,IMSW001389,Project
22-Dec-11,Construction Service Providers,MI Capital WiP,Halcrow Group Ltd,1027029,"£26,351.38",Tame Project Approvals,SN4 0QD,,30071913,IMMI000978,Project
22-Dec-11,Construction Service Providers,MI Capital WiP,Halcrow Group Ltd,1027032,"£45,864.55",Lower Dove Strategy,SN4 0QD,,30071913,IMMI001015,Project
22-Dec-11,Construction Service Providers,AN Capital WiP,Halcrow Group Ltd,1027135,"£28,971.08",Ipswich Flood Development Management Scheme- alternative design for EDF Power Cable Diversion ,SN4 0QD,,30071913,IMAN001827,Project
06-Dec-11,Construction Service Providers | Main Contractors,NW Capital WiP,Galliford Try Infrastructure Ltd,987786,"£107,609.50",Hockery Brook project,LE10 3JF,,30142734,IMNW000335,Project
20-Dec-11,Construction Supplies,SE Capital WiP,Wijma UK Ltd,1002282,"£53,116.57","Shipment of Timber for pevensey Outfall project ""Grande Cameroun"".",NR9 3AY,,,IMSO000737,Project
06-Dec-11,Construction Supplies,NE Capital WiP,ArcelorMittal Commercial RPS UK Ltd,1012955,"£184,414.61",Steel Piles for Skellow Bank,ME9 8SR,,30072323,IMNE000173,Project
20-Dec-11,Construction Supplies,AN Capital WiP,ArcelorMittal Commercial RPS UK Ltd,1021949,"£46,442.99",Steel Piles for Shotley Sluice,,,30072323,IMAN002370,Project
15-Dec-11,Construction Supplies,AN Northern-Ops Delivery,Tata Steel UK Ltd,1022762,"£35,121.60",Trench sheeting to Ferriby Depot,SA13 2NG,,30072324,REAN001441,Project
22-Dec-11,Construction Supplies,NW Capital WiP | NW South-Ops Delivery,Cheetham Hill Construction Ltd,1023517,"£51,301.52",Egg Farm Brook,BL8 1AR,,30239782,IMNW000334 | ,Project
01-Dec-11,Electricity,HO Business Finance,British Gas Business,1017304,"£29,460.95",Electricity Supply for North West region,OX4 2JY,,30286709,,Administration
13-Dec-11,Electricity,AN Eastern-AEM - Monitoring,EDF Energy Plc,1021716,"£52,811.02",Electricity to Wixoe Pumping Station,PL3 5ZN,,30286699,REAN000470,Administration
06-Dec-11,Engineering Services,HO Fleet - EA Wales,Fraikin Ltd,1020868,"£53,607.31",Plant Maintenance cost for Wales October 2011,CV4 8HX,,40021314,,Administration
15-Dec-11,Engineering Services,HO Fleet Operations,Fraikin Ltd,1021173,"£323,466.04",Plant Maintenance costs,CV4 8HX,,30207502,,Administration
20-Dec-11,Engineering Services,SE Capital WiP,Hamson Partnership Ltd,1024178,"£48,666.00",Non-destructive testing of King George V Flood Gate,RH16 1DB,,,IMTH001252,Project
06-Dec-11,Environmental Materials,SE Capital WiP,Halcrow Group Ltd,1018661,"£81,172.12","Supply, Installation and Maintenance of Autonomous Monitoring System",SN4 0QD,,30319544,IMTH001345,Project
01-Dec-11,Environmental Services,SW Capital WiP,Ian Farmer Associates,1009125,"£25,508.60",Teignmouth Flood Alleviation Scheme ,NE11 0TX,, | 30123039 | ,IMSW000780,Project
01-Dec-11,Environmental Services,MI West-AEM - 1,Severn Trent Water,1013490,"£629,942.40",Clywedog Dam (Reservoir Agreement) Quarter 3 2011/12,B3 1SE,,,,Administration
01-Dec-11,Environmental Services,MI West-AEM - 1,Severn Trent Water,1013496,"£32,112.00",Lake Vyrnwy Dam Reservoir Agreement 2011/12,B3 1SE,,,,Administration
01-Dec-11,Environmental Services,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,1018056,"£50,222.05",Watercourse Maintenance Central and West,IP6 8NH,,30134424,,Administration
01-Dec-11,Environmental Services,AN Capital WiP,Country Grounds Maintenance Ltd,1018985,"£30,384.00",Blakeney Cley plus Burnham bushing and tree removals,PE33 9TP,,30291267,IMAN002124,Project
01-Dec-11,Environmental Services,SE SSD - Ops Delivery,Land & Water Services Ltd,1018997,"£28,016.90",Pevensey Vegetation management services,GU5 9AF,,30150847,,Administration
06-Dec-11,Environmental Services,AN Central-AEM - Brampton,URS Corporation Ltd,1019365,"£32,640.00",Pilot Remediation Sawton,G2 4QE,,30105862,REAN001598,Project
06-Dec-11,Environmental Services,WA Water and Environment,Welsh Water,1019731,"£1,836,534.90",Reservoir Operating Agreement - periodic billing from 01.04.11,CF3 9WL,,,,Administration
06-Dec-11,Environmental Services,WA Water and Environment,Welsh Water,1019734,"£1,836,534.90",Reservoir Operating Agreement - periodic billing from 01.07.11,CF3 9WL,,,,Administration
08-Dec-11,Environmental Services,NW Ambition Project Manager,Apem Ltd,1020460,"£82,510.80",Diffuse Pollution Walkovers - Bathing Waters,SK4 4GN,,,RENW001931,Project
08-Dec-11,Environmental Services,NE North East Area Manager,Apem Ltd,1020464,"£28,462.80",Catchment walkover surveys and reports on 7 waterbodies for Northumberland Rural Diffuse Partnership Project,SK4 4GN,,30181112,RENE960014,Project
08-Dec-11,Environmental Services,NW South-Ops Delivery,Aquajet GB Ltd,1020926,"£39,716.40",CCTV Man entry works at Millingford Brook,DN22 6HG,,30170509,RENW200034,Project
13-Dec-11,Environmental Services,SE North East Thames - Ops Delivery,JT Mackley & Co Ltd,1021465,"£57,667.24",2011 Watercourse maintenance and minor works,BN5 9XQ,,30134439,,Administration
20-Dec-11,Environmental Services,HO Capital WiP,Hydrock Consultants Ltd,1022973,"£51,577.69",Helpston Groundwater Remediation Project,BS32 4DF,,30177470,HOOP000050,Project
20-Dec-11,Environmental Services,AN Northern-AEM - Northampton/Kettering,Hydrock Consultants Ltd,1022975,"£33,810.70",Helpston Groundwater Hydrogeology ,BS32 4DF,,30177470,REAN001571,Project
20-Dec-11,Environmental Services,AN Capital WiP,40SEVEN Ltd,1023882,"£37,620.00",Little Ouse Channel Survey.,LS9 0SE,,30189696,IMAN002161,Project
20-Dec-11,Environmental Services,HO Flood Warning Systems,Met Office,1024800,"£54,600.00",UK Coastal Monitoring and Forecasting direct services from 01.10.11 - 31.12.11,EX1 3PB,,,,Administration
20-Dec-11,Environmental Services,HO Flood Warning Systems,Met Office,1024810,"£211,326.00",National Weather Radar Agreement 01.10.11 - 31.12.11,EX1 3PB,,,,Administration
20-Dec-11,Environmental Services,HO Flood Warning Systems,Met Office,1025213,"£36,512.10",Weather Services,EX1 3PB,,,,Administration
22-Dec-11,Environmental Services,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,1026325,"£73,346.65",Watercourse Maintenance Central and West works up to 13.11.11.,IP6 8NH,,30134424,,Administration
15-Dec-11,Environmental Services | Main Contractors,AN Capital WiP,Broadland Environmental Services Ltd,1022836,"£2,543,162.02",Maintenance and Improvements - Broadland Flood alleviation project,GU15 3XW,,30014973,IMAN000753,Project
06-Dec-11,Fuels,HO Fleet Operations,Arval Phh,1019979,"£287,671.72",Commercial Fleet - Fuel/Tax/Servicing/leasing/admin 2011/2012,SN5 6PQ,,30015330,,Administration
13-Dec-11,Fuels,HO Fleet - EA Wales,Allstar Business Solutions Ltd,1023845,"£42,595.31",Monthly fuel bill for Wales October 2011,SN5 6PS,,40002026,,Administration
13-Dec-11,Insurance Services,Financial Management,Aon Ltd,1022324,"£92,628.63",Third Party insurance cover,RM1 3EL,,30219360,,Administration
01-Dec-11,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1017668,"£1,272,297.45",Lease Car rentals and VAT November 2011,RG14 2NU,,30000281,,Administration
15-Dec-11,Leasing,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1022502,"£43,320.07",Lease Car rentals Nov 11,RG14 2NU,,30000281,,Administration
13-Dec-11,Leasing,EA Wales,Hitachi Capital Vehicle Solutions Ltd,1022603,"£74,615.72",Period Rentals Nov 2011.,RG14 2NU,,40000314,,Administration
13-Dec-11,Leasing,HO Fleet - EA Wales,Hewden Stuart Plc,1023444,"£30,140.59",Consolidated plant hire charges  ,M32 0HW,,40019499,,Administration
15-Dec-11,Leasing,HO Fleet Operations,Hewden Stuart Plc,1023580,"£486,679.54",Consolidated plant hire charges ,M32 0HW,,30184689,,Administration
15-Dec-11,Leasing ,HO Geomatics,RVL Survey Ltd,1022764,"£103,612.51",Remote sensing projects (Aircraft and pilot Hire),CV8 3AZ,,30000394,SCLI0001,Administration
01-Dec-11,Main Contractors,AN Northern-Ops Delivery | AN Northern - Flood Risk,BAM Nuttall Ltd,1005708,"£25,528.07",Wash Banks Reinstatement scheme,GU15 3XW,,30184779,REAN001126 | REAN001125,Project
